,수신,날짜,거래조건,출발지,도착지,CBM,중량,OCEAN FREIGHT,THC,WHARFAGE,DOCUMENT FEE,TRUCKING CHG,HANDLING CHG,INSURANCE FEE,AGENCY FEE,CLEARANCE,LOCAL CHG,CLEANING CHG,SEAL CHG,검역증명서,원산지증명서,DRAYAGE CHG,PACKING CHG,PSF,PFS,DG CHG,ETC,TOTAL
7,면상호,2024-02-29 00:00:00,CFR,BUSAN,캐나다,40 FT,20000.0,5507330.0,345000.0,8400.0,50000.0,286000.0,22000.0,,,,,,10000.0,,,,,,,,,6250730.0
8,면상호,2024-02-29 00:00:00,CFR,BUSAN,캐나다,20 FT,20000.0,6670700.0,345000.0,8400.0,50000.0,286000.0,22000.0,,,22000.0,,,10000.0,,,,,,,,,7414100.0
9,버드코,2022-03-03 00:00:00,DPU,BUSAN,캐나다,13.189,1400.0,2139163.0,98918.0,144196.0,110000.0,1324773.0,130228.0,,153906.0,22000.0,142067.0,,,82872.0,,25800.0,,,,,3862833.0,9249996.0
10,버드코,2022-03-03 00:00:00,DPU,BUSAN,캐나다,10.53,1053.0,1707892.0,625476.0,143290.0,110000.0,5480583.0,130228.0,,153906.0,93040.0,142067.0,,,82872.0,,25800.0,632500.0,,,,3107022.0,8520686.0
11,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,7.68,1320.0,593271.0,1408940.0,2542.0,50000.0,1832252.0,42487.0,,66261.0,192431.0,,,,,,,,,,,2593506.0,6732326.0
12,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,1,330.0,77249.0,126643.0,331.0,50000.0,591319.0,42487.0,,66261.0,121391.0,,,,,,,,,,,397332.0,1473012.0
13,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,20 FT,5000.0,6823644.0,289025.0,4200.0,76504.0,2616262.0,42487.0,,92765.0,22000.0,,,10000.0,,,,,,86.0,,199264.0,10188497.0
14,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,40 FT,5000.0,12102312.0,339025.0,8400.0,76504.0,2703162.0,42487.0,,92765.0,22000.0,,,10000.0,,,,,,172.0,,199264.0,15608351.0
15,비앤씨유통,2024-03-05 00:00:00,FOB,중국,INCHEON,4.48,1400.0,,33600.0,1568.0,50000.0,187000.0,22000.0,,61945.0,22000.0,,,,,,86900.0,,,,,190884.0,633897.0
16,주식회사 빅매치,2023-08-17 00:00:00,EXW,중국,INCHEON,0.18,87.0,153415.0,,,50000.0,339467.0,33000.0,,39337.0,,78674.0,,,,,,,,,,,713562.0
17,뽀득,2023-11-08 00:00:00,FOB,중국,INCHEON,40 FT,21000.0,,180000.0,8400.0,7143.0,302500.0,47143.0,,,23352.0,,50000.0,,,,,,,172.0,,4063764.0,1135646.0
18,뽀득,2023-11-08 00:00:00,FOB,중국,INCHEON,40 FT,21000.0,121586.0,180000.0,8400.0,7143.0,302500.0,47143.0,,,23352.0,,50000.0,,,,,,,172.0,,4063764.0,1257233.0
19,삼성임업,2024-02-01 00:00:00,CIF,BUSAN,네덜란드,40 FT,2600.0,4022564.0,,,6250.0,792000.0,2750.0,,,,,,10000.0,,,,,,,,,4838820.0
20,주식회사 서울영상에스,2024-03-14 00:00:00,FOB,중국,INCHEON,1.44,300.0,38377.0,10800.0,491.0,50000.0,132000.0,22000.0,,39976.0,24750.0,,3600.0,,,,60500.0,,,,,124726.0,504470.0
21,세광무역,2023-10-25 00:00:00,FOB,일본,BUSAN,20 FT,12580.0,94702.0,130000.0,4429.0,40000.0,792000.0,33000.0,,27058.0,165051.0,,35000.0,,,,,,,237.0,,250283.0,1571759.0
22,쉐인유통,2024-03-21 00:00:00,EXW,중국,INCHEON,40 FT,18000.0,699478.0,180000.0,8400.0,40000.0,1202415.0,22000.0,,,,770721.0,50000.0,,,,,,,646.0,,673572.0,3669232.0
23,쉐인유통,2024-03-21 00:00:00,EXW,중국,INCHEON,20 FT,18000.0,531085.0,130000.0,4200.0,20000.0,1072501.0,11000.0,,,22000.0,531085.0,50000.0,,,,,,,323.0,,613377.0,2697981.0
24,스타픽커,2024-03-05 00:00:00,EXW,중국,INCHEON,4.08,,,30000.0,1340.0,55000.0,,22000.0,,,33000.0,252985.0,10000.0,,,,74800.0,,,,,,745077.0
25,스토어1115,2024-02-19 00:00:00,EXW,중국,INCHEON,3.84,460.0,49741.0,28700.0,,50000.0,454136.0,22000.0,,,22000.0,161916.0,11520.0,,,,61600.0,,,,,,861613.0
26,스토어1115,2024-02-19 00:00:00,EXW,중국,INCHEON,2.71,1000.0,34974.0,20250.0,,50000.0,454136.0,22000.0,,,22000.0,161916.0,8100.0,,,,61600.0,,,,,,834976.0
27,주식회사 쏘렐라,2023-10-20 00:00:00,DDP,BUSAN,대만,3.01,489.5,,38892.0,1298.0,50000.0,439052.0,73586.0,20293.0,,94702.0,,,,,,205857.0,,,,,83594.0,1057767.0
28,아이원 주식회사,2023-11-15 00:00:00,FOB,INCHEON,중국,0.25,280.0,13099.0,,,,151948.0,,,,22000.0,402145.0,,,,,,,,,,,567193.0
29,아이원 주식회사,2023-11-15 00:00:00,FOB,INCHEON,중국,0.25,280.0,14000.0,,,,99000.0,33000.0,,,,,,,,,,,,,,,240849.0
30,아전무역,2024-03-14 00:00:00,EXW,중국,INCHEON,20 FT ,24000.0,399762.0,130000.0,4200.0,40000.0,1196162.0,22000.0,,,57200.0,437073.0,35000.0,,,,,,,323.0,,599643.0,2906151.0
31,아전무역,2024-03-14 00:00:00,EXW,중국,INCHEON,20 FT ,24000.0,399762.0,130000.0,4200.0,40000.0,1196162.0,22000.0,,,22000.0,437073.0,35000.0,,,,,,,323.0,,599643.0,2906151.0
32,아트,2023-11-08 00:00:00,FOB,중국,INCHEON,20 FT ,3000.0,256682.0,130000.0,4200.0,40000.0,332029.0,33000.0,,,,,35000.0,,,,,,,86.0,,,851262.0
33,알알,2024-04-16 00:00:00,EXW,GWANGYANG,INCHEON,20 FT,1755.0,271176.0,130000.0,4200.0,50000.0,734852.0,22000.0,,,22000.0,555911.0,35000.0,,,,,,,329.0,,352529.0,2177997.0
34,(주)애드스토어,2022-06-20 00:00:00,CFR,BUSAN,에콰도르,40 FT,20000.0,13727016.0,180000.0,8840.0,50000.0,715660.0,69906.0,,,,,,10000.0,,,,,,172.0,,1128666.0,16149016.0
35,얄리얄리,2023-10-17 00:00:00,EXW,영국,BUSAN,1.2,319.0,48704.0,16800.0,410.0,112233.0,765450.0,33000.0,,,203756.0,,3000.0,,,,,,,,338220.0,,1316932.0
36,에버리치에프앤비,2023-10-25 00:00:00,CIF,BUSAN,미국,20 FT,1500.0,2299896.0,230000.0,8400.0,50000.0,704000.0,33000.0,,,33822.0,,,64115.0,,,,,,,,,3431704.0
37,에버리치에프앤비,2023-10-25 00:00:00,CIF,BUSAN,미국,1.92,500.0,181827.0,,,40000.0,165000.0,33000.0,,,22000.0,,,54115.0,,,,,,,,,516235.0
38,에버리치에프앤비,2023-10-25 00:00:00,CIF,BUSAN,미국,5.76,1500.0,545481.0,,,40000.0,242000.0,33000.0,,,22000.0,,,54115.0,,,,,,,,,956890.0
39,㈜에스라이즈,2023-12-29 00:00:00,FCA,중국,INCHEON,1.33,200.0,38860.0,9982.0,429.0,50000.0,104500.0,22000.0,,,22000.0,130362.0,3327.0,,,,56000.0,,,,,,434890.0
40,송광에이스,2023-08-25 00:00:00,EXW,태국,INCHEON,40 FT,18400.0,66540.0,379962.0,21731.0,183308.0,2270372.0,40060.0,,66654.0,79985.0,79985.0,50000.0,,357500.0,,79985.0,,474.0,172.0,179966.0,,4462964.0
41,에이치제이,2023-08-10 00:00:00,DAP,BUSAN,영국,1.2,300.0,365014.0,14000.0,,40000.0,1184644.0,181252.65,,176491.0,,,,,,,,,,,,28239.0,2059863.0
42,주식회사 엘드,2024-04-03 00:00:00,FOB,중국,INCHEON,40 FT,,134950.0,180000.0,8400.0,40000.0,360360.0,33000.0,,,44000.0,,50000.0,,,,,,,172.0,,971640.0,1800522.0
0,주식회사 이이컴퍼니,2024-02-06 00:00:00,FOB,중국,INCHEON,40 FT,,754040.0,180000.0,8400.0,50000.0,737000.0,22000.0,,,22000.0,,50000.0,,,,,,,,,108194.0,1931634.0
1,㈜익성,2022-09-16 00:00:00,DDP,INCHEON,중국,3.32,600.0,175081.38,46340.0,1128.0,72573.28,1015834.7000000001,40716.6,,67861.0,117005.4,,,,,,200325.672,,,,,,1336486.0
2,엘라이,2024-04-08 00:00:00,FOB,베트남,INCHEON,20 FT,,242762.4,130000.0,4200.0,50000.0,,22000.0,,,,,35000.0,,,,,,,172.0,,148354.8,632489.0
3,온앤온 (ON&ON Trading),2023-12-20 00:00:00,FOB,베트남,INCHEON,20 FT,26900.0,69328.96,137410.01,4437.05,52884.13,,,,,,,26442.07,,,,,,,,,,291181.65
4,움직임컴퍼니,2023-11-17 00:00:00,FOB,중국,BUSAN,2.0787,575.0,26198.4,28000.0,646.0,50000.0,209000.0,33000.0,,,,,5000.0,,,,61600.0,,,,,162430.08,615172.0
5,위해 LCL,2024-04-12 00:00:00,FOB,중국,INCHEON,3.1,325.0,292663.56,,,40460.4,77000.0,134868.0,,,62460.4,,,,,,,,,,,,607452.0
6,유니온 메탈,2023-11-09 00:00:00,DDP,INCHEON,인도,40 FT,9800.0,2499276.0,,,,580912.8,,,,175624.8,337740.0,,,,,,,,,,,3593554.0
7,유니온 메탈,2023-11-09 00:00:00,DDP,BUSAN,인도,40 FT,9800.0,1283412.0,,,,580912.8,,,,175624.8,337740.0,,,,,,,,,,,2377690.0
8,유니온 메탈,2023-11-09 00:00:00,DDP,BUSAN,인도,34.616,9800.0,1870593.2544,,484679.99999999994,,445816.8,,,,175624.80000000002,310720.8,,,,,,,,,,,2802756.0
9,㈜유원인터내셔널,2022-09-13 00:00:00,FOB,중국,INCHEON,40 FT,7000.0,8137800.0,360000.0,16800.0,50000.0,840000.0,68500.0,,41100.0,,,,,,,,,,344.0,,1479600.0,10994144.0
10,이강석 대표님,2023-08-08 00:00:00,CIF,BUSAN,인도네시아,8.672,634.0,222915.4944,121408.0,,40000.0,176000.0,33000.0,19278.9,,22000.0,,,,,,,,,,,,634602.0
11,이하이코리아푸드,2022-10-27 00:00:00,EXW,중국,INCHEON,20 FT,,271449.0,472883.19999999995,4200.0,192868.0,1394329.0,42860.0,,42860.0,43430.0,,25000.0,,,,,,,86.0,,571709.0,2954525.0
12,주식회사 결,2022-10-27 00:00:00,EXW,중국,INCHEON,40 FT,4120.0,471464.0,694324.0,8400.0,192868.0,1686815.0,42860.0,,42860.0,43430.0,,40000.0,,,,,,,172.0,,1143318.0,4195171.0
13,월스팜텍,2023-03-02 00:00:00,DAP,BUSAN,터키,0.0261,2.0,73266.0,546840.0,431.0,40000.0,478951.0,219495.0,18734.0,,22000.0,,,,,,5000.0,,,,,77262.0,1255520.0
14,올탑,2022-08-17 00:00:00,FOB,방글라데시,INCHEON,3.99,11.55,432147.0,30000.0,1400.0,50000.0,,55000.0,,50841.0,22000.0,,8000.0,,110000.0,,58000.0,,,,,76261.0,934321.0
